STN,YYYYMMDD,   RD
664,18830114,0
664,18830115,0
664,18830116,0
664,18830117,0
664,18830118,0
664,18830119,0
664,18830120,0
664,18830121,0
664,18830122,0
664,18830123,0
664,18830124,0
664,18830125,0
664,18830126,45
664,18830127,30
664,18830128,50
664,18830129,90
664,18830130,55
664,18830131,15
664,18830201,0
664,18830202,0
664,18830203,15
664,18830204,0
664,18830205,20
664,18830206,0
664,18830207,0
664,18830208,0
664,18830209,155
664,18830210,25
664,18830211,0
664,18830212,15
664,18830213,0
664,18830214,30
664,18830215,0
664,18830216,82
664,18830217,0
664,18830218,0
664,18830219,20
664,18830220,0
664,18830221,15
664,18830222,5
664,18830223,20
664,18830224,0
664,18830225,10
664,18830226,0
664,18830227,0
664,18830228,0
664,18830301,50
664,18830302,0
664,18830303,0
664,18830304,0
664,18830305,0
664,18830306,15
664,18830307,25
664,18830308,0
664,18830309,12
664,18830310,0
664,18830311,25
664,18830312,45
664,18830313,0
664,18830314,5
664,18830315,0
664,18830316,15
664,18830317,0
664,18830318,0
664,18830319,0
664,18830320,0
664,18830321,0
664,18830322,0
664,18830323,0
664,18830324,0
664,18830325,30
664,18830326,25
664,18830327,0
664,18830328,10
664,18830329,13
664,18830330,5
664,18830331,0
664,18830401,0
664,18830402,0
664,18830403,0
664,18830404,0
664,18830405,0
664,18830406,0
664,18830407,0
664,18830408,0
664,18830409,0
664,18830410,0
664,18830411,0
664,18830412,5
664,18830413,0
664,18830414,0
664,18830415,0
664,18830416,0
664,18830417,0
664,18830418,0
664,18830419,0
664,18830420,0
664,18830421,0
664,18830422,0
664,18830423,5
664,18830424,5
664,18830425,0
664,18830426,0
664,18830427,0
664,18830428,0
664,18830429,0
664,18830430,0
664,18830501,0
664,18830502,0
664,18830503,0
664,18830504,0
664,18830505,5
664,18830506,0
664,18830507,0
664,18830508,0
664,18830509,40
664,18830510,60
664,18830511,0
664,18830512,0
664,18830513,50
664,18830514,0
664,18830515,0
664,18830516,10
664,18830517,0
664,18830518,0
664,18830519,50
664,18830520,15
664,18830521,0
664,18830522,0
664,18830523,0
664,18830524,0
664,18830525,0
664,18830526,8
664,18830527,30
664,18830528,0
664,18830529,0
664,18830530,2
664,18830531,0
664,18830601,0
664,18830602,110
664,18830603,0
664,18830604,0
664,18830605,0
664,18830606,0
664,18830607,0
664,18830608,25
664,18830609,115
664,18830610,0
664,18830611,120
664,18830612,0
664,18830613,0
664,18830614,0
664,18830615,0
664,18830616,52
664,18830617,2
664,18830618,0
664,18830619,20
664,18830620,0
664,18830621,5
664,18830622,10
664,18830623,0
664,18830624,0
664,18830625,0
664,18830626,20
664,18830627,5
664,18830628,0
664,18830629,0
664,18830630,0
664,18830701,0
664,18830702,0
664,18830703,0
664,18830704,0
664,18830705,42
664,18830706,0
664,18830707,90
664,18830708,58
664,18830709,52
664,18830710,0
664,18830711,0
664,18830712,20
664,18830713,0
664,18830714,30
664,18830715,45
664,18830716,40
664,18830717,60
664,18830718,110
664,18830719,80
664,18830720,5
664,18830721,45
664,18830722,25
664,18830723,48
664,18830724,85
664,18830725,20
664,18830726,22
664,18830727,40
664,18830728,53
664,18830729,62
664,18830730,10
664,18830731,40
664,18830801,20
664,18830802,40
664,18830803,0
664,18830804,50
664,18830805,0
664,18830806,120
664,18830807,20
664,18830808,10
664,18830809,55
664,18830810,80
664,18830811,105
664,18830812,20
664,18830813,0
664,18830814,0
664,18830815,15
664,18830816,53
664,18830817,20
664,18830818,45
664,18830819,10
664,18830820,0
664,18830821,0
664,18830822,10
664,18830823,5
664,18830824,0
664,18830825,0
664,18830826,0
664,18830827,0
664,18830828,0
664,18830829,0
664,18830830,32
664,18830831,0
664,18830901,65
664,18830902,10
664,18830903,50
664,18830904,63
664,18830905,75
664,18830906,5
664,18830907,8
664,18830908,5
664,18830909,60
664,18830910,0
664,18830911,0
664,18830912,0
664,18830913,0
664,18830914,0
664,18830915,0
664,18830916,0
664,18830917,0
664,18830918,0
664,18830919,0
664,18830920,0
664,18830921,8
664,18830922,22
664,18830923,0
664,18830924,0
664,18830925,12
664,18830926,6
664,18830927,10
664,18830928,4
664,18830929,10
664,18830930,5
664,18831001,29
664,18831002,4
664,18831003,11
664,18831004,16
664,18831005,1
664,18831006,0
664,18831007,0
664,18831008,1
664,18831009,0
664,18831010,0
664,18831011,0
664,18831012,1
664,18831013,0
664,18831014,0
664,18831015,0
664,18831016,30
664,18831017,55
664,18831018,40
664,18831019,0
664,18831020,160
664,18831021,5
664,18831022,10
664,18831023,0
664,18831024,0
664,18831025,85
664,18831026,40
664,18831027,0
664,18831028,0
664,18831029,0
664,18831030,0
664,18831031,0
664,18831101,0
664,18831102,0
664,18831103,0
664,18831104,0
664,18831105,80
664,18831106,75
664,18831107,150
664,18831108,25
664,18831109,0
664,18831110,10
664,18831111,20
664,18831112,125
664,18831113,20
664,18831114,85
664,18831115,25
664,18831116,10
664,18831117,0
664,18831118,75
664,18831119,40
664,18831120,75
664,18831121,52
664,18831122,15
664,18831123,20
664,18831124,0
664,18831125,42
664,18831126,50
664,18831127,5
664,18831128,0
664,18831129,0
664,18831130,0
664,18831201,30
664,18831202,15
664,18831203,45
664,18831204,120
664,18831205,30
664,18831206,0
664,18831207,0
664,18831208,0
664,18831209,30
664,18831210,0
664,18831211,0
664,18831212,150
664,18831213,30
664,18831214,25
664,18831215,50
664,18831216,25
664,18831217,35
664,18831218,0
664,18831219,30
664,18831220,35
664,18831221,35
664,18831222,23
664,18831223,20
664,18831224,0
664,18831225,0
664,18831226,0
664,18831227,0
664,18831228,0
664,18831229,0
664,18831230,0
664,18831231,0
664,18840101,0
664,18840102,0
664,18840103,0
664,18840104,0
664,18840105,0
664,18840106,20
664,18840107,0
664,18840108,0
664,18840109,0
664,18840110,0
664,18840111,0
664,18840112,30
664,18840113,0
664,18840114,10
664,18840115,35
664,18840116,0
664,18840117,0
664,18840118,0
664,18840119,0
664,18840120,0
664,18840121,0
664,18840122,10
664,18840123,120
664,18840124,200
664,18840125,45
664,18840126,160
664,18840127,65
664,18840128,15
664,18840129,0
664,18840130,55
664,18840131,10
664,18840201,20
664,19180528,0
664,19180529,6
664,19180530,0
664,19180531,0
664,19180601,0
664,19180602,0
664,19180603,0
664,19180604,5
664,19180605,0
664,19180606,0
664,19180607,0
664,19180608,0
664,19180609,0
664,19180610,50
664,19180611,24
664,19180612,0
664,19180613,0
664,19180614,0
664,19180615,36
664,19180616,16
664,19180617,118
664,19180618,4
664,19180619,15
664,19180620,0
664,19180621,47
664,19180622,78
664,19180623,106
664,19180624,28
664,19180625,30
664,19180626,0
664,19180627,7
664,19180628,10
664,19180629,8
664,19180630,0
664,19180701,0
664,19180702,0
664,19180703,0
664,19180704,2
664,19180705,0
664,19180706,12
664,19180707,3
664,19180708,0
664,19180709,22
664,19180710,34
664,19180711,29
664,19180712,1
664,19180713,91
664,19180714,12
664,19180715,60
664,19180716,0
664,19180717,234
664,19180718,26
664,19180719,12
664,19180720,6
664,19180721,24
664,19180722,34
664,19180723,0
664,19180724,71
664,19180725,0
664,19180726,20
664,19180727,43
664,19180728,267
664,19180729,2
664,19180730,0
664,19180731,0
664,19180801,1
664,19180802,0
664,19180803,22
664,19180804,3
664,19180805,17
664,19180806,8
664,19180807,57
664,19180808,35
664,19180809,33
664,19180810,84
664,19180811,1
664,19180812,0
664,19180813,0
664,19180814,0
664,19180815,0
664,19180816,0
664,19180817,0
664,19180818,3
664,19180819,12
664,19180820,0
664,19180821,9
664,19180822,0
664,19180823,0
664,19180824,3
664,19180825,2
664,19180826,3
664,19180827,90
664,19180828,50
664,19180829,75
664,19180830,40
664,19180831,20
664,19180901,23
664,19180902,4
664,19180903,60
664,19180904,20
664,19180905,0
664,19180906,9
664,19180907,0
664,19180908,108
664,19180909,84
664,19180910,83
664,19180911,14
664,19180912,202
664,19180913,102
664,19180914,132
664,19180915,23
664,19180916,18
664,19180917,56
664,19180918,26
664,19180919,28
664,19180920,0
664,19180921,21
664,19180922,61
664,19180923,11
664,19180924,1
664,19180925,0
664,19180926,52
664,19180927,11
664,19180928,3
664,19180929,123
664,19180930,126
664,19181001,23
664,19181002,55
664,19181003,14
664,19181004,0
664,19181005,22
664,19181006,51
664,19181007,0
664,19181008,7
664,19181009,2
664,19181010,0
664,19181011,0
664,19181012,3
664,19181013,0
664,19181014,0
664,19181015,0
664,19181016,172
664,19181017,18
664,19181018,0
664,19181019,5
664,19181020,36
664,19181021,12
664,19181022,63
664,19181023,0
664,19181024,4
664,19181025,0
664,19181026,12
664,19181027,2
664,19181028,0
664,19181029,0
664,19181030,0
664,19181031,0
664,19181101,0
664,19181102,0
664,19181103,0
664,19181104,2
664,19181105,0
664,19181106,72
664,19181107,46
664,19181108,4
664,19181109,30
664,19181110,0
664,19181111,7
664,19181112,16
664,19181113,0
664,19181114,4
664,19181115,0
664,19181116,0
664,19181117,3
664,19181118,28
664,19181119,18
664,19181120,3
664,19181121,0
664,19181122,1
664,19181123,0
664,19181124,0
664,19181125,0
664,19181126,3
664,19181127,6
664,19181128,33
664,19181129,15
664,19181130,0
664,19181201,0
664,19181202,13
664,19181203,33
664,19181204,62
664,19181205,5
664,19181206,7
664,19181207,0
664,19181208,8
664,19181209,0
664,19181210,24
664,19181211,38
664,19181212,1
664,19181213,42
664,19181214,45
664,19181215,133
664,19181216,6
664,19181217,19
664,19181218,18
664,19181219,85
664,19181220,23
664,19181221,5
664,19181222,0
664,19181223,23
664,19181224,34
664,19181225,18
664,19181226,0
664,19181227,65
664,19181228,65
664,19181229,125
664,19181230,27
664,19181231,14
664,19190101,0
664,19190102,85
664,19190103,10
664,19190104,37
664,19190105,7
664,19190106,0
664,19190107,3
664,19190108,0
664,19190109,0
664,19190110,9
664,19190111,0
664,19190112,8
664,19190113,0
664,19190114,0
664,19190115,57
664,19190116,12
664,19190117,43
664,19190118,7
664,19190119,2
664,19190120,10
664,19190121,0
664,19190122,0
664,19190123,0
664,19190124,0
664,19190125,0
664,19190126,0
664,19190127,17
664,19190128,0
664,19190129,11
664,19190130,0
664,19190131,0
664,19190201,0
664,19190202,0
664,19190203,0
664,19190204,0
664,19190205,0
664,19190206,0
664,19190207,1
664,19190208,0
664,19190209,0
664,19190210,0
664,19190211,0
664,19190212,0
664,19190213,1
664,19190214,0
664,19190215,0
664,19190216,0
664,19190217,20
664,19190218,30
664,19190219,49
664,19190220,5
664,19190221,0
664,19190222,25
664,19190223,50
664,19190224,27
664,19190225,0
664,19190226,0
664,19190227,4
664,19190228,6
664,19190301,37
664,19190302,0
664,19190303,3
664,19190304,65
664,19190305,110
664,19190306,123
664,19190307,27
664,19190308,32
664,19190309,6
664,19190310,2
664,19190311,5
664,19190312,0
664,19190313,0
664,19190314,0
664,19190315,0
664,19190316,0
664,19190317,0
664,19190318,27
664,19190319,0
664,19190320,2
664,19190321,0
664,19190322,0
664,19190323,0
664,19190324,0
664,19190325,0
664,19190326,0
664,19190327,8
664,19190328,0
664,19190329,129
664,19190330,8
664,19190331,11
664,19190401,22
664,19190402,124
664,19190403,0
664,19190404,0
664,19190405,0
664,19190406,0
664,19190407,0
664,19190408,0
664,19190409,0
664,19190410,0
664,19190411,0
664,19190412,0
664,19190413,93
664,19190414,0
664,19190415,84
664,19190416,63
664,19190417,38
664,19190418,0
664,19190419,0
664,19190420,106
664,19190421,0
664,19190422,0
664,19190423,0
664,19190424,16
664,19190425,0
664,19190426,17
664,19190427,118
664,19190428,12
664,19190429,53
664,19190430,18
664,19190501,32
664,19190502,82
664,19190503,76
664,19190504,0
664,19190505,0
664,19190506,0
664,19190507,0
664,19190508,0
664,19190509,0
664,19190510,0
664,19190511,0
664,19190512,1
664,19190513,7
664,19190514,0
664,19190515,0
664,19190516,0
664,19190517,0
664,19190518,0
664,19190519,0
664,19190520,0
664,19190521,0
664,19190522,0
664,19190523,0
664,19190524,0
664,19190525,0
664,19190526,38
664,19190527,0
664,19190528,0
664,19190529,0
664,19190530,0
664,19190531,0
664,19190601,0
664,19190602,0
664,19190603,0
664,19190604,64
664,19190605,69
664,19190606,4
664,19190607,0
664,19190608,0
664,19190609,5
664,19190610,0
664,19190611,0
664,19190612,0
664,19190613,1
664,19190614,13
664,19190615,0
664,19190616,0
664,19190617,0
664,19190618,0
664,19190619,0
664,19190620,0
664,19190621,1
664,19190622,38
664,19190623,2
664,19190624,23
664,19190625,305
664,19190626,13
664,19190627,20
664,19190628,0
664,19190629,88
664,19190630,110
664,19190701,19
664,19190702,105
664,19190703,11
664,19190704,1
664,19190705,0
664,19190706,0
664,19190707,0
664,19190708,0
664,19190709,3
664,19190710,22
664,19190711,158
664,19190712,8
664,19190713,24
664,19190714,68
664,19190715,17
664,19190716,2
664,19190717,4
664,19190718,1
664,19190719,0
664,19190720,42
664,19190721,81
664,19190722,23
664,19190723,92
664,19190724,22
664,19190725,44
664,19190726,0
664,19190727,24
664,19190728,54
664,19190729,126
664,19190730,3
664,19190731,5
664,19190801,0
664,19190802,4
664,19190803,6
664,19190804,22
664,19190805,7
664,19190806,0
664,19190807,0
664,19190808,0
664,19190809,0
664,19190810,0
664,19190811,0
664,19190812,0
664,19190813,0
664,19190814,0
664,19190815,0
664,19190816,5
664,19190817,48
664,19190818,0
664,19190819,0
664,19190820,0
664,19190821,8
664,19190822,0
664,19190823,0
664,19190824,0
664,19190825,17
664,19190826,0
664,19190827,24
664,19190828,0
664,19190829,0
664,19190830,102
664,19190831,7
664,19190901,0
