"Depth" "AirTemp" "WaterTemp"
"3845" 2.5 16.6717 17.28473
"3846" 5 16.6717 15.30553
"3847" 7.5 16.6717 13.5289
"3877" 0 18.3194 18.73275
"3878" 1 18.3194 18.51192
"3879" 2.5 18.3194 18.1807
"3880" 5 18.3194 17.62861
"3881" 7.5 18.3194 16.7705
"3911" 0 17.4581 20.14829
"3912" 1 17.4581 20.0255
"3913" 2.5 17.4581 19.84126
"3914" 5 17.4581 19.53432
"3915" 7.5 17.4581 17.51304
"3945" 0 14.685 18.41763
"3946" 1 14.685 18.36058
"3947" 2.5 14.685 18.27512
"3948" 5 14.685 18.13245
"3949" 7.5 14.685 16.86535
"3979" 0 8.8871 13.34558
"3980" 1 8.8871 13.33694
"3981" 2.5 8.8871 13.32323
"3982" 5 8.8871 13.30191
"3983" 7.5 8.8871 13.4544
"4013" 0 2.9067 9.616687
"4014" 1 2.9067 9.618947
"4015" 2.5 2.9067 9.62482
"4016" 5 2.9067 9.629356
"4017" 7.5 2.9067 9.602252
"4047" 0 3.7597 6.400534
"4048" 1 3.7597 6.410479
"4049" 2.5 3.7597 6.427833
"4050" 5 3.7597 6.447801
"4051" 7.5 3.7597 6.468649
"4081" 0 2.2516 5.154276
"4082" 1 2.2516 5.163007
"4083" 2.5 2.2516 5.161378
"4084" 5 2.2516 5.178604
"4085" 7.5 2.2516 5.195923
"4115" 0 -8.2552 3.888053
"4116" 1 -8.2552 3.907365
"4117" 2.5 -8.2552 3.926651
"4118" 5 -8.2552 3.973167
"4119" 7.5 -8.2552 4.068339
"4149" 0 5.0661 2.20838
"4150" 1 5.0661 2.325916
"4151" 2.5 5.0661 2.50307
"4152" 5 5.0661 2.797044
"4153" 7.5 5.0661 3.019413
"4183" 0 7.5167 3.935997
"4184" 1 7.5167 3.937506
"4185" 2.5 7.5167 3.940124
"4186" 5 7.5167 3.943952
"4187" 7.5 7.5167 3.953774
"4217" 0 13.479 12.55156
"4218" 1 13.479 11.95918
"4219" 2.5 13.479 11.07045
"4220" 5 13.479 9.589479
"4221" 7.5 13.479 8.549903
"4251" 0 14.17 15.25322
"4252" 1 14.17 15.05369
"4253" 2.5 14.17 14.75442
"4254" 5 14.17 14.25558
"4255" 7.5 14.17 11.9806
"4285" 0 17.9742 17.77649
"4286" 1 17.9742 17.77837
"4287" 2.5 17.9742 17.78118
"4288" 5 17.9742 17.78588
