"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
1.1821 3.604884 3.641237 3.695768 3.795085 3.858823
2.671 3.345953 3.381685 3.435283 3.313265 3.645985
6.805 4.730135 4.691465 4.633461 4.659295 4.629188
11.9355 10.58039 10.44317 10.23735 10.66225 8.830079
18.2117 19.28329 19.13288 18.90725 15.72165 13.0063
18.0694 19.2152 18.28852 16.89852 12.35553 9.238024
18.3323 19.97743 19.64892 19.15615 17.95957 15.73559
15.78 17.96331 18.17549 18.49378 18.34866 17.81742
9.8081 13.7243 13.7646 13.82505 13.85909 13.85398
6.2983 9.735364 9.730621 9.723507 9.756685 9.58513
-0.3823 6.536154 6.625457 6.759413 6.981151 6.965555
-1.3548 4.395238 4.429526 4.480959 4.593912 4.618629
0.1429 3.475829 3.480835 3.488344 3.522766 3.529464
1.0387 2.260933 2.372731 2.54043 2.934754 3.166384
11.0267 9.327528 9.15958 8.907658 6.301099 5.712462
14.6806 16.77352 16.70155 16.59359 13.92389 9.766127
14.6717 16.30987 16.34376 16.3946 14.74821 11.10662
19.2242 19.78032 19.75482 19.71657 19.03427 15.67619
18.7903 22.32477 22.26628 22.17854 21.89462 20.14521
13.72 17.33594 17.29207 17.22627 18.07603 17.92607
10.9242 15.4417 15.4265 15.40371 15.42144 15.42167
3.52 10.91337 10.82265 10.68657 10.77199 10.77999
1.6242 7.17501 7.092764 6.969396 7.190847 7.212853
0.0823 4.979039 4.998619 5.02799 5.078583 5.05091
3.9121 4.361731 4.357026 4.349969 4.296501 4.333866
7.2339 5.058247 5.116845 5.204743 5.369966 5.142219
7.8533 8.960176 8.641847 8.164353 7.663506 7.196186
11.9516 12.17448 11.7083 11.00902 9.708291 9.07118
14.6483 16.25472 15.86834 15.28877 14.52402 13.55962
17.55 22.43527 22.13089 21.67432 20.06643 17.68168
16.5806 21.42835 21.39269 21.33921 20.19847 18.20372
11.6333 16.4703 16.38031 16.24531 16.28407 16.17226
