"year" "month" "temp"
1974 7 15.4
1974 8 16.4
1974 9 12.7
1974 10 7
1974 11 6.5
1974 12 7.3
1975 1 6.2
1975 2 3.1
1975 3 4.7
1975 4 7.5
1975 5 11.1
1975 6 15.1
1975 7 17.8
1975 8 19.9
1975 9 15.2
1975 10 8.5
1975 11 5.2
1975 12 3.5
1976 1 4.2
1976 2 2.9
1976 3 3
1976 4 7.5
1976 5 13.3
1976 6 18
1976 7 19.3
1976 8 18
1976 9 13.8
1976 10 11.2
1976 11 6.9
1976 12 1.7
1977 1 3
1977 2 4.9
1977 3 7.1
1977 4 6.7
1977 5 11.9
1977 6 14.6
1977 7 17
1977 8 16.1
1977 9 13.4
1977 10 11.5
1977 11 6.8
1977 12 5
1978 1 3
1978 2 1.1
1978 3 6.6
1978 4 6.9
1978 5 12.1
1978 6 15
1978 7 15.4
1978 8 15.3
1978 9 13.7
1978 10 10.9
1978 11 6.3
1978 12 1.8
1979 1 -3.2
1979 2 -0.9
1979 3 4.7
1979 4 7.8
1979 5 11.5
1979 6 14.9
1979 7 15.9
1979 8 15.6
1979 9 13.9
1979 10 10.9
1979 11 5.6
1979 12 5.4
1980 1 0.2
1980 2 4.8
1980 3 4.7
1980 4 8
1980 5 12.3
1980 6 15
1980 7 15.8
1980 8 17
1980 9 15.3
1980 10 9.4
1980 11 4.9
1980 12 3.6
1981 1 2.7
1981 2 1.5
1981 3 8.1
1981 4 8.3
1981 5 13.3
1981 6 14.4
1981 7 16.3
1981 8 16.7
1981 9 14.7
1981 10 8.5
1981 11 6.7
1981 12 -0.7
1982 1 1.1
1982 2 2.8
1982 3 5.2
1982 4 7.6
1982 5 12.9
1982 6 16.6
1982 7 18.9
1982 8 17.2
1982 9 15.6
1982 10 11.1
1982 11 8.2
1982 12 3.4
1983 1 6.2
1983 2 0.9
1983 3 5.7
1983 4 8.5
1983 5 10.6
1983 6 16.4
1983 7 20.1
1983 8 18.1
1983 9 14.2
1983 10 10.4
1983 11 6.1
1983 12 3.8
1984 1 3.4
1984 2 2
1984 3 4
1984 4 7.9
1984 5 10.6
1984 6 13.8
1984 7 15.9
1984 8 18.1
1984 9 13.5
1984 10 11.7
1984 11 8.2
1984 12 4.3
1985 1 -3
1985 2 -0.6
1985 3 4.1
1985 4 8.5
1985 5 13.2
1985 6 13.7
1985 7 17.4
1985 8 15.9
1985 9 14.4
1985 10 10.3
1985 11 2.6
1985 12 5.7
1986 1 2.4
1986 2 -3.6
1986 3 4.2
1986 4 6.2
1986 5 13.3
1986 6 16.4
1986 7 17.2
1986 8 15.6
1986 9 11.6
1986 10 11.4
1986 11 7.9
1986 12 5.1
1987 1 -2.7
1987 2 2.1
1987 3 2.3
1987 4 10.7
1987 5 10.2
1987 6 13.8
1987 7 16.8
1987 8 16.2
1987 9 14.8
1987 10 10.8
1987 11 6.8
1987 12 4.4
1988 1 5.9
1988 2 4.6
1988 3 5.1
1988 4 8.7
1988 5 14.4
1988 6 14.8
1988 7 16
1988 8 16.6
1988 9 14
1988 10 10.9
1988 11 6.1
1988 12 7
1989 1 4.5
1989 2 5.3
1989 3 8.2
1989 4 6.9
1989 5 14.6
1989 6 15.7
1989 7 18.1
1989 8 17.2
1989 9 15.6
1989 10 12.4
1989 11 5.6
1989 12 4.8
1990 1 5.7
1990 2 7.6
1990 3 8.5
1990 4 8.9
1990 5 13.9
1990 6 15
1990 7 16.9
1990 8 18.5
1990 9 13.1
1990 10 12
1990 11 6.2
1990 12 4.2
1991 1 3.2
1991 2 -0.8
1991 3 8.8
1991 4 8.5
1991 5 10
1991 6 12.7
1991 7 19
1991 8 18
1991 9 15
1991 10 10.2
1991 11 5.3
1991 12 3.9
1992 1 2.7
1992 2 4.9
1992 3 6.9
1992 4 8.7
1992 5 15.6
1992 6 17.2
1992 7 18.3
1992 8 17.8
1992 9 14.6
1992 10 8
1992 11 8
1992 12 3.7
1993 1 5.1
1993 2 2.4
1993 3 5.8
1993 4 11.1
1993 5 14.3
1993 6 15.9
1993 7 16.1
1993 8 15.2
